Vehicle_ID,Model_Year,Brand,Model,Electric_Vehicle_Type,CAFV_Eligibility,Electric_Range,Base_MSRP,Vehicle_Age,Price_Category,Range_Category,Vehicle_Type
100001,2018,Ola Electric,450X,BEV,Eligible,151,1010268,8,Budget,Short,2 Wheeler
100002,2018,Byd India,Xuv400,BEV,Eligible,452,3172355,8,Premium,Long,4 Wheeler
100003,2018,Ather Energy,Zs Ev,BEV,Eligible,493,2725573,8,Midrange,Long,4 Wheeler
100004,2018,Tata Motors,S1 Pro,BEV,Eligible,332,2207371,8,Midrange,Medium,2 Wheeler
100005,2018,Byd India,Zs Ev,BEV,Eligible,267,1548143,8,Midrange,Medium,4 Wheeler
100006,2018,Mahindra Electric,S1 Pro,BEV,Eligible,399,3270690,8,Premium,Medium,2 Wheeler
100007,2018,Tata Motors,Atto 3,BEV,Not Eligible,168,4285659,8,Premium,Short,4 Wheeler
100008,2018,Mg Motor India,450X,BEV,Eligible,171,3903758,8,Premium,Short,2 Wheeler
100009,2018,Tvs Motor,Atto 3,BEV,Eligible,160,3457489,8,Premium,Short,4 Wheeler
100010,2018,Hyundai Ev,Kona Ev,BEV,Not Eligible,389,1171836,8,Budget,Medium,4 Wheeler
100011,2018,Mg Motor India,Zs Ev,PHEV,Eligible,349,3947262,8,Premium,Medium,4 Wheeler
100012,2018,Tata Motors,Kona Ev,BEV,Eligible,287,1972876,8,Midrange,Medium,4 Wheeler
100013,2018,Tata Motors,S1 Pro,BEV,Eligible,120,2510908,8,Midrange,Short,2 Wheeler
100014,2018,Byd India,Nexon Ev,BEV,Not Eligible,215,3645815,8,Premium,Medium,4 Wheeler
100015,2018,Tvs Motor,Xuv400,BEV,Eligible,458,4346532,8,Premium,Long,4 Wheeler
100016,2018,Ola Electric,Atto 3,PHEV,Eligible,347,4421441,8,Premium,Medium,4 Wheeler
100017,2018,Tvs Motor,450X,BEV,Eligible,439,2221685,8,Midrange,Long,2 Wheeler
100018,2018,Ather Energy,Atto 3,BEV,Eligible,336,1114020,8,Budget,Medium,4 Wheeler
100019,2018,Tata Motors,Atto 3,BEV,Eligible,121,2916716,8,Midrange,Short,4 Wheeler
100020,2018,Ola Electric,450X,BEV,Eligible,301,3732868,8,Premium,Medium,2 Wheeler
100021,2018,Ather Energy,S1 Pro,PHEV,Eligible,406,3859034,8,Premium,Long,2 Wheeler
100022,2018,Mg Motor India,450X,BEV,Eligible,213,2961083,8,Midrange,Medium,2 Wheeler
100023,2018,Hyundai Ev,Kona Ev,BEV,Not Eligible,427,4460920,8,Premium,Long,4 Wheeler
100024,2018,Tata Motors,Xuv400,BEV,Eligible,195,1027948,8,Budget,Short,4 Wheeler
100025,2018,Tvs Motor,Xuv400,BEV,Eligible,244,1128576,8,Budget,Medium,4 Wheeler
100026,2018,Hyundai Ev,Iqube,BEV,Eligible,312,3115603,8,Premium,Medium,2 Wheeler
100027,2018,Ola Electric,S1 Pro,BEV,Eligible,465,2431266,8,Midrange,Long,2 Wheeler
100028,2018,Mahindra Electric,Nexon Ev,PHEV,Eligible,299,3895765,8,Premium,Medium,4 Wheeler
100029,2018,Tata Motors,Xuv400,BEV,Not Eligible,132,1737291,8,Midrange,Short,4 Wheeler
100030,2018,Byd India,Xuv400,BEV,Eligible,480,3808926,8,Premium,Long,4 Wheeler
100031,2018,Mg Motor India,Kona Ev,BEV,Eligible,319,3019823,8,Premium,Medium,4 Wheeler
100032,2018,Hyundai Ev,Iqube,BEV,Eligible,227,4179611,8,Premium,Medium,2 Wheeler
100033,2018,Mahindra Electric,Atto 3,BEV,Not Eligible,431,2933350,8,Midrange,Long,4 Wheeler
100034,2018,Tvs Motor,Nexon Ev,BEV,Eligible,513,2756926,8,Midrange,Long,4 Wheeler
100035,2018,Tvs Motor,Zs Ev,PHEV,Not Eligible,139,1273616,8,Budget,Short,4 Wheeler
100036,2018,Ola Electric,450X,PHEV,Eligible,88,3266696,8,Premium,Short,2 Wheeler
100037,2018,Ola Electric,Iqube,BEV,Eligible,240,2747191,8,Midrange,Medium,2 Wheeler
100038,2018,Hyundai Ev,Iqube,BEV,Not Eligible,306,1812495,8,Midrange,Medium,2 Wheeler
100039,2018,Ather Energy,Zs Ev,BEV,Eligible,417,2026081,8,Midrange,Long,4 Wheeler
100040,2018,Tata Motors,S1 Pro,BEV,Eligible,368,4033837,8,Premium,Medium,2 Wheeler
100041,2018,Tata Motors,Iqube,BEV,Eligible,450,3435893,8,Premium,Long,2 Wheeler
100042,2018,Hyundai Ev,Kona Ev,BEV,Eligible,517,4444839,8,Premium,Long,4 Wheeler
100043,2018,Hyundai Ev,Nexon Ev,BEV,Eligible,396,1629903,8,Midrange,Medium,4 Wheeler
100044,2018,Tvs Motor,Nexon Ev,PHEV,Not Eligible,237,4351356,8,Premium,Medium,4 Wheeler
100045,2018,Ola Electric,Nexon Ev,PHEV,Not Eligible,428,2831760,8,Midrange,Long,4 Wheeler
100046,2018,Ola Electric,Nexon Ev,BEV,Eligible,332,2326388,8,Midrange,Medium,4 Wheeler
100047,2018,Tvs Motor,Zs Ev,BEV,Eligible,302,2889173,8,Midrange,Medium,4 Wheeler
100048,2018,Tvs Motor,Atto 3,PHEV,Not Eligible,206,4127802,8,Premium,Medium,4 Wheeler
100049,2018,Tvs Motor,Nexon Ev,BEV,Eligible,325,1398863,8,Budget,Medium,4 Wheeler
100050,2018,Mahindra Electric,Zs Ev,PHEV,Eligible,92,3217115,8,Premium,Short,4 Wheeler
